1,64,7.756278,1.889758
2,64,7.756265,3.731746
4,64,7.756262,7.092474
8,64,7.756264,13.954549
16,64,7.756261,19.025976
32,64,7.756260,10.752276
48,64,7.756258,8.633210
1,128,7.757516,1.912638
2,128,7.757497,3.757375
4,128,7.757506,7.396600
8,128,7.757504,14.557901
16,128,7.757509,16.648432
32,128,7.757510,13.641927
48,128,7.757507,8.888815
1,256,7.757596,1.939597
2,256,7.757652,3.783462
4,256,7.757626,7.611654
8,256,7.757638,14.704824
16,256,7.757640,20.179417
32,256,7.757639,19.476775
48,256,7.757641,21.471736
1,512,7.758035,1.914995
2,512,7.757829,3.935204
4,512,7.757772,7.458797
8,512,7.757812,15.000845
16,512,7.757807,21.926242
32,512,7.757809,22.210796
48,512,7.757814,23.314178
1,1024,7.755616,2.897383
2,1024,7.755905,6.168152
4,1024,7.757710,11.515869
8,1024,7.757838,15.539559
16,1024,7.757923,22.524555
32,1024,7.757841,34.358109
48,1024,7.757846,26.111725
1,3072,7.833665,3.482752
2,3072,7.732983,5.513350
4,3072,7.740269,11.360122
8,3072,7.757365,22.558856
16,3072,7.759023,23.610676
32,3072,7.757792,29.000381
48,3072,7.757703,31.862950
1,4096,7.554255,3.470480
2,4096,7.623755,6.282606
4,4096,7.753710,12.299198
8,4096,7.760605,26.035992
16,4096,7.757433,26.953545
32,4096,7.756821,31.914772
48,4096,7.757465,45.382395
1,8196,4.000000,3.345402
